epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.024,1.37194,3.99371,1.22274,0.00724,0.39408,0.03544,0.02192,1.31436,4.02366,1.16846,0.000708826,0.000236275,0.000708826,0.000236275,0.000708826,0.000236275,0.000708826,0.000236275
2,275.624,1.351,3.75327,1.19535,0.61001,0.03016,0.10472,0.06769,1.38928,3.55149,1.1819,0.00137587,0.000458624,0.00137587,0.000458624,0.00137587,0.000458624,0.00137587,0.000458624
3,443.85,1.38314,3.37088,1.19207,0.38482,0.1329,0.16777,0.11075,1.4303,3.02796,1.1958,0.0019958,0.000665265,0.0019958,0.000665265,0.0019958,0.000665265,0.0019958,0.000665265
4,644.317,1.42037,2.92023,1.19817,0.57685,0.14267,0.18498,0.11415,1.4438,2.52831,1.19707,0.00192994,0.000643314,0.00192994,0.000643314,0.00192994,0.000643314,0.00192994,0.000643314
5,858.125,1.41377,2.50789,1.2035,0.66063,0.19098,0.23205,0.14294,1.41455,2.29058,1.2031,0.00185926,0.000619752,0.00185926,0.000619752,0.00185926,0.000619752,0.00185926,0.000619752
6,1075.74,1.40096,2.29031,1.20601,0.52394,0.24798,0.26872,0.17118,1.42585,2.14009,1.22062,0.00178857,0.00059619,0.00178857,0.00059619,0.00178857,0.00059619,0.00178857,0.00059619
7,1317.13,1.40545,2.11498,1.19264,0.63176,0.27674,0.30016,0.1854,1.45374,1.99617,1.2315,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628
8,1581.39,1.41165,1.99267,1.19688,0.63274,0.24573,0.28083,0.16683,1.47275,1.90283,1.24454,0.0016472,0.000549066,0.0016472,0.000549066,0.0016472,0.000549066,0.0016472,0.000549066
9,1878.84,1.40201,1.89619,1.18777,0.59161,0.2225,0.23581,0.13873,1.46928,1.84646,1.27164,0.00157651,0.000525504,0.00157651,0.000525504,0.00157651,0.000525504,0.00157651,0.000525504
10,2276.21,1.39948,1.85633,1.18226,0.63398,0.19562,0.19574,0.11131,1.45937,1.76441,1.27007,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942
11,2754.2,1.38805,1.80992,1.17666,0.52183,0.22483,0.21954,0.12877,1.44524,1.74154,1.25506,0.00143514,0.00047838,0.00143514,0.00047838,0.00143514,0.00047838,0.00143514,0.00047838
12,3234.88,1.34349,1.73804,1.16791,0.57504,0.1974,0.20447,0.11532,1.46803,1.704,1.2659,0.00136445,0.000454818,0.00136445,0.000454818,0.00136445,0.000454818,0.00136445,0.000454818
13,3844.28,1.3576,1.70283,1.1729,0.59439,0.21842,0.22839,0.12889,1.44509,1.70989,1.25124,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256
14,4488.91,1.3646,1.69187,1.17601,0.47987,0.16609,0.17048,0.10026,1.44642,1.68243,1.24144,0.00122308,0.000407694,0.00122308,0.000407694,0.00122308,0.000407694,0.00122308,0.000407694
15,5073.25,1.32665,1.66292,1.16057,0.46696,0.20294,0.19338,0.11058,1.42295,1.684,1.22711,0.0011524,0.000384132,0.0011524,0.000384132,0.0011524,0.000384132,0.0011524,0.000384132
16,5597.5,1.3216,1.62299,1.15453,0.4456,0.18626,0.18208,0.1068,1.43672,1.65611,1.24124,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057
17,6126.5,1.30532,1.58849,1.15165,0.53141,0.21375,0.21652,0.12885,1.40435,1.63664,1.22502,0.00101102,0.000337008,0.00101102,0.000337008,0.00101102,0.000337008,0.00101102,0.000337008
18,6699.37,1.32066,1.59839,1.15235,0.50425,0.22167,0.21798,0.13081,1.39345,1.65385,1.22215,0.000940338,0.000313446,0.000940338,0.000313446,0.000940338,0.000313446,0.000940338,0.000313446
19,7266.1,1.32503,1.58876,1.1533,0.46987,0.19952,0.19118,0.1128,1.41871,1.64159,1.23144,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884
20,7868.53,1.29336,1.56357,1.14445,0.45089,0.1832,0.1709,0.09519,1.40697,1.62854,1.22957,0.000798966,0.000266322,0.000798966,0.000266322,0.000798966,0.000266322,0.000798966,0.000266322
21,8557.63,1.31801,1.75697,1.13982,0.39994,0.11337,0.10832,0.05867,1.4477,1.75542,1.25375,0.00072828,0.00024276,0.00072828,0.00024276,0.00072828,0.00024276,0.00072828,0.00024276
